"School  Name","Agency","Grades","Neighborhood Cluster","Address","GSF","Capacity","Enrollment SY11-12","Utilization"
"Thurgood Marshall Academy PCS","PCS","9-12","37.0","2427 M. L. King Jr. Ave., SE, Washington, DC 20020","52000.0","400.0","390.0","0.975"
"Tree of Life Community PCS","PCS","PK-3","22.0","2315 18th Pl., NE, Washington, DC 20018","28076.0","400.0","301.0","0.7525"
"Truesdell Education Campus","DCPS","PS-8","18.0","800 Ingraham St., NW, Washington, DC 20011","69600.0","450.0","423.0","0.94"
"Tubman Elementary School","DCPS","PS-5","2.0","3101 13th St., NW, Washington, DC 20010","66600.0","500.0","489.0","0.978"
"Turner Elementary School","DCPS","PS-5","38.0","1500 Mississippi Ave., SE, Washington, DC 20020","77500.0","600.0","305.0","0.508333333333"
"Two Rivers PCS - Upper and Lower","PCS","PS -8","25.0","1234 4th St., NE, Washington, DC 20002","58000.0","350.0","451.0","1.28857142857"
"Tyler Elementary School","DCPS","PS-5","26.0","1001 G St., SE, Washington, DC 20003","69600.0","500.0","402.0","0.804"
"Van Ness","DCPS","Admin","27.0","1150 5th Street, SE","49400.0","215.0","n/a","15"
"Walker Jones Education Campus","DCPS","PS-8","8.0","1125 New Jersey Ave., NW, Washington, DC 20001","104200.0","700.0","418.0","0.597142857143"
"Washington Latin PCS: Middle School Campus (Decatur)","PCS","5-8","18.0","4115 16th St., NW, Washington, DC 20011","13658.0","325.0","349.0","1.07384615385"
"Washington Latin PCS: Upper School Campus (Upshur)","PCS","9-12","18.0","4715 16th St., NW, Washington, DC 20011","13730.0","250.0","225.0","0.9"
"Washington Math, Science & Technology PCS (WMST)","PCS","9-12","23.0","1920 Bladensburg Rd., NE, Washington, DC 20002","49000.0","368.0","349.0","0.948369565217"
"Washington Metropolitan High School","DCPS","9-12","3.0","300 Bryant St., NW, Washington, DC 20002","49500.0","350.0","253.0","0.722857142857"
"Washington Yu Ying PCS","PCS","PK-5","20.0","220 Taylor St., NE, Washington, DC ","40000.0","500.0","367.0","0.734"
"Watkins Elementary School (Capitol Hill Cluster)","DCPS","PS-4","26.0","420 12th St., SE, Washington, DC 20003","69300.0","587.0","521.0","0.887563884157"
"West Education Campus","DCPS","PS-8","18.0","1338 Farragut St., NW, Washington, DC 20011","69600.0","278.0","244.0","0.877697841727"
"Wheatley Education Campus","DCPS","PS-8","23.0","1299 Neal St., NE, Washington, DC 20002","86375.0","500.0","475.0","0.95"
"Whittier Education Campus","DCPS","PK-8","17.0","6201 5th St., NW, Washington, DC 20011","66600.0","520.0","346.0","0.665384615385"
"Wilkinson","DCPS","Swing","28.0","2330 Pomeroy Rd., SE, Washington, DC 20020","144900.0","508.0","n/a","15"
"William E. Doar Junior PCS: NE Campus","PCS","PS-8","21.0","705 Edgewood St., NE, Washington, DC 20017","45000.0","560.0","426.0","0.760714285714"
"Winston Education Campus","DCPS","PK-8","35.0","3100 Erie St., SE, Washington, DC 20020","137700.0","550.0","302.0","0.549090909091"
"Woodrow Wilson Senior High School","DCPS","9-12","11.0","4340 Connecticut Ave., NW, Building 52, Washington, DC 20016","376448.0","1600.0","1633.0","1.020625"
"YouthBuild LAYC PCS","PCS","Ungraded","2.0","3014 14th Street, NW 20009","n/a","121.0","105.0","0.867768595041"
