2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School Code,LEA Name,Cluster,NBH_NAMES,SchoolName,StreetAddr,ZIP_code,MAR_cluster,School  Name,Neighborhood Cluster,Address,GSF,Capacity,Enrollment SY11-12,Utilization,Lat,Long,School ID,1112Math Tested,1112Math BelowBasic,1112Math Basic,1112Math Proficient,1112Math Advanced,1112Reading Tested,1112Reading BelowBasic,1112Reading Basic,1112Reading Proficient,1112Reading Advanced,2011 Adjusted Cohort Grad Rate,OSSE Code,Name,Total Enrolled 2012,PK3,PK4,KG,1,2,3,4,5,6,7,8,9,10,11,12,AO,UN,ELL,Level 1,Level 2,Level 3,Level 4,Ward,Name,Total Enrolled 2012,PK3,PK4,KG,1,2,3,4,5,6,7,8,9,10,11,12,AO,UN,ELL,Level 1,Level 2,Level 3,Level 4,Name of School,PCS or DCPS,Bubdgt Org 4,Year,School No,DC Funding Allocation,Federal Revenue,INTRADISTRICT FUNDS,SPECIAL PURPOSE REVENUE FUNDS,Total Government Revenue,Donations,Fees and Other,Other Revenue,Total Revenue,School Code,School Name,Grade,Subgroup,MValid Tests (n),MBelow Basic (n),MBasic (n),MProficient (n),MAdvanced (n),MPercent Proficient (% Proficient & Advanced),MWeighted,RValid Tests (n),RBelow Basic (n),RBasic (n),RProficient (n),RAdvanced (n),RPercent Proficient (% Proficient & Advanced),RWeighted
153,Cesar Chavez Public PCS,Cluster 26,"Capitol Hill, Lincoln Park",Cesar Chavez - Capitol Hill PCS,"709 12th St SE Washington, DC",20003,Cluster 26,Cesar Chavez PCS: Capitol Hill Campus,26,"709 12th St., SE, Washington, DC 20003",40000,430,392,0.911627907,38.880982,-76.990244,153,125,0.08,0.36,0.52,0.04,125,0.096,0.504,0.368,0.032,0.8488,153,CESAR CHAVEZ PCS CAPITOL HILL,392,,,,,,,,,,,,148,133,60,51,,,9,10,31,11,9,6,Cesar Chavez Capitol Hill PCS,409,,,,,,,,,,,,154,105,72,78,,,14,7,27,10,13,Cesar Chavez Public Charter Schools for Public Policy,PCS,,2013,153,23168977.94,2491398,,,25660375.94,528440,228716,757156,26417531.94,0153,CESAR CHAVEZ CAPITOL HILL PCS,All Grades,All Students,101,10,49,42,0,0.415841584,2.316831683,101,10,43,42,6,0.475247525,2.435643564
155,Friendship PCS,Cluster 26,"Capitol Hill, Lincoln Park",Friendship - Chamberlain,"1345 Potomac Ave SE Washington, DC",20002,Cluster 26,Friendship PCS - Chamberlain Elementary & Middle,26,"1345 Potomac Ave., SE, Washington, DC 20002",80660,758,765,1.009234828,38.879689,-76.987085,155,440,0.115909091,0.345454545,0.445454545,0.093181818,440,0.115909091,0.470454545,0.386363636,0.027272727,,155,FRIENDSHIP  CHAMBERLAIN,765,38,62,69,68,71,69,79,69,83,79,78,,,,,,,3,31,26,12,1,6,Friendship PCS Chamberlain,760,37,56,68,70,71,73,66,72,81,84,82,,,,,,,1,34,29,9,5,,PCS,,,,,,,,,,,,,0155,FRIENDSHIP PCS CHAMBERLAIN,All Grades,All Students,447,62,134,193,58,0.561521253,2.552572707,447,45,193,187,22,0.467561521,2.416107383
156,Friendship PCS,Cluster 24,"Woodridge, Fort Lincoln, Gateway",Friendship - Woodridge,"2959 Carlton Ave NE Washington, DC",20018,Cluster 24,Friendship PCS - Woodridge Elementary & Middle,24,"2959 Carlton Ave., NE, Washington, DC 20018",67600,382,498,1.303664921,38.929406,-76.967322,156,274,0.153284672,0.357664234,0.434306569,0.054744526,274,0.153284672,0.332116788,0.47810219,0.03649635,,156,FRIENDSHIP WOODRIDGE,498,51,52,44,33,34,55,36,45,48,51,49,,,,,,,14,16,24,8,6,5,Friendship PCS Woodridge Campus,477,41,52,49,46,38,33,38,36,38,51,55,,,,,,,14,23,24,3,15,,PCS,,,,,,,,,,,,,0156,FRIENDSHIP PCS WOODRIDGE CAMPUS,All Grades,All Students,237,30,91,102,14,0.489451477,2.421940928,235,31,99,96,9,0.446808511,2.353191489
157,Friendship PCS,Cluster 25,"Union Station, Stanton Park, Kingman Park",Friendship - Blow Pierce,"725 19th St NE Washington, DC",20002,Cluster 25,Friendship PCS - Blow-Pierce Elementary & Middle,25,"725 19th St., NE, Washington, DC 20002",62994,685,641,0.935766423,38.898247,-76.976634,157,330,0.13030303,0.390909091,0.439393939,0.039393939,329,0.182370821,0.495440729,0.313069909,0.009118541,,157,FRIENDSHIP BLOW PIERCE,641,67,88,65,40,27,17,34,42,87,84,90,,,,,,,2,20,34,15,10,7,Friendship PCS Blow Pierce,683,77,77,82,62,45,30,27,38,71,90,84,,,,,,,5,23,34,19,7,"Friendship Public Charter School, Inc. ",PCS,,2013,157,60982398.89,10851516,,,71833914.89,650839,1194989,1845828,73679742.89,0157,FRIENDSHIP PCS BLOW PIERCE,All Grades,All Students,324,54,124,131,15,0.450617284,2.330246914,324,68,157,93,6,0.305555556,2.114197531
158,Community Academy PCS,Cluster 18,"Brightwood Park, Crestwood, Petworth",Community Academy - Amos II,"1351 Nicholson St NW Washington, DC",20011,Cluster 18,Community Academy PCS - Amos II,18,"1351 Nicholson St., NW, Washington, DC 20011",55000,285,137,0.480701754,38.960226,-77.031721,158,62,0.161290323,0.580645161,0.209677419,0.048387097,62,0.258064516,0.387096774,0.35483871,0,,158,COMMUNITY ACADEMY PCS (AMOS II),137,57,41,39,,,,,,,,,,,,,,,,4,1,,,5,Community Academy Amos II,280,100,108,72,,,,,,,,,,,,,,,116,8,1,,,,PCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Elsie Whitlow Stokes Communtiy Freedom PCS,Cluster 20,"North Michigan Park, Michigan Park, University Heights",Elsie Whitlow Stokes Community Freedom PCS,"3700 Oakview Terrace NE Washington, DC",20017,Cluster 20,Elsie Whitlow Stokes Community Freedom PCS,20,"3700 Oakview Terrace, NE, Washington, DC 20010",33000,350,350,1,38.935347,-76.990001,159,162,0.049382716,0.327160494,0.456790123,0.166666667,164,0.06097561,0.341463415,0.506097561,0.091463415,,159,ELSIE WHITLOW STOKES COMMUNITY FREEDOM,350,18,30,47,45,44,42,48,44,32,,,,,,,,,120,17,14,2,2,5,Elsie Whitlow Stokes PCS,335,19,27,48,48,44,46,37,38,28,,,,,,,,,81,19,11,2,3,"Elsie Whitlow Stokes Community Freedom Public Charter School, Inc.",PCS,,2013,159,5455641.45,0,,,5455641.45,,,0,5455641.45,0159,ELSIE WHITLOW STOKES COMMUNTIY FREEDOM PCS,All Grades,All Students,146,4,39,71,32,0.705479452,2.897260274,146,9,44,82,11,0.636986301,2.650684932
160,Hospitality PCS,Cluster 18,"Brightwood Park, Crestwood, Petworth",Hospitality,"4301 13th St NW 3rd Floor Washington, DC",20004,Cluster 18,Hospitality Senior High PCS,18,"4301 13th St., NW, Washington, DC 20011",30000,202,196,0.97029703,38.943044,-77.029691,160,45,0.177777778,0.555555556,0.266666667,0,44,0.159090909,0.568181818,0.272727273,0,0.6333,160,HOSPITALITY,196,,,,,,,,,,,,67,61,45,23,,,9,14,34,4,2,4,Hospitality PCS,201,,,,,,,,,,,,53,60,44,44,,,22,13,35,5,2,"Hospitality High School of Washington, DC, A Public Charter School",PCS,,2013,160,4290725.558,558781.57,,,4849507.128,1600000,66700,1666700,6516207.128,0160,HOSPITALITY PCS,All Grades,All Students,54,8,26,19,1,0.37037037,2.240740741,54,9,28,14,3,0.314814815,2.203703704
161,Hyde Leadership PCS,Cluster 22,"Brookland, Brentwood, Langdon",Perry Street Prepatory PCS (formerly Hyde Leadership Academy),"1800 Perry St NE Washington, DC",20018,Cluster 22,Perry St. Prep PCS (Upper and Lower),22,"1800 Perry St. NE, Washington, DC",194300,1050,936,0.891428571,38.936162,-76.979638,161,421,0.16152019,0.439429929,0.334916865,0.064133017,425,0.155294118,0.484705882,0.331764706,0.028235294,0.7941,161,PERRY STREET PREP,936,,30,43,28,40,38,41,42,65,55,78,187,143,82,64,,,,31,79,13,7,5,Perry Street Prep PCS,950,30,33,34,40,31,43,35,52,49,72,64,153,106,113,95,,,41,40,77,9,3,Perry Street Preparatory Public Charter School,PCS,,2013,161,14963231.94,1602538,,,16565769.94,26426,169114,195540,16761309.94,0161,PERRY STREET PREP PCS,All Grades,All Students,389,57,155,147,30,0.455012853,2.385604113,387,51,171,149,16,0.426356589,2.335917313
163,Integrated Design Electronics Academy,Cluster 31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",IDEA - Integrated Design Electronics Academy,"1027 45th St NE Washington, DC",20019,Cluster 31,IDEA- Integrated Design and Electronic Academy PCS,31,"1027 45th St., NE, Washington, DC 20019",100000,302,359,1.188741722,38.903419,-76.937644,163,128,0.1953125,0.453125,0.3359375,0.015625,128,0.1640625,0.484375,0.3203125,0.03125,0.7231,163,IDEA INTEGRATED  DESIGN AND ELECTRONIC ACADEMY,359,,,,,,,,,,29,46,97,66,56,65,,,,7,14,13,26,7,IDEA PCS,298,,,,,,,,,,34,30,78,58,47,51,,,,6,11,19,13,Integrated Design & Electronics Academy Public Charter School,PCS,,2013,163,4290725.558,785892,,,5076617.558,83511,35466,118977,5195594.558,0163,INTEGRATED DESIGN ELECTRONICS ACADEMY IDEA PCS,All Grades,All Students,109,17,36,53,3,0.513761468,2.385321101,110,8,35,52,15,0.609090909,2.672727273
164,Maya Angelou PCS,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",Maya Angelou Young Adult Learning Center,"5600 East Capitol St NE Washington, DC",20019,Cluster 33,Maya Angelou PCS-Young Adult Learning Center,33,"5600 East Capitol St., NE, Washington, DC 20019",37333,82,82,1,38.889828,-76.921256,,,,,,,,,,,,0.4211,164,,,,,,,,,,,,,,,,,,,,,,,,,7,Maya Angelou Young Adult Learning Center,82,,,,,,,,,,,,,,,,82,,,2,1,4,1,,PCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Meridian PCS,Cluster 3,"Friendship Heights, American University Park, Tenleytown",Meridian PCS,"2120 13th  Ave NW Washington, DC ",20009,Cluster 3,Meridian PCS,3,"2120 13th  Ave., NW, Washington, DC ",61900,622,531,0.853697749,38.918404,-77.029614,165,220,0.109090909,0.272727273,0.509090909,0.109090909,219,0.086757991,0.337899543,0.515981735,0.059360731,,165,MERIDIAN,531,53,51,75,70,50,45,53,45,28,34,27,,,,,,,,64,8,2,4,1,Meridian PCS,567,52,75,71,64,75,47,40,43,46,32,22,,,,,,,136,71,11,1,4,Meridian Public Charter School,PCS,,2013,165,9378060.546,498639,,,9876699.546,812744,877104,1689848,11566547.55,0165,MERIDIAN PCS,All Grades,All Students,226,11,87,106,22,0.566371681,2.615044248,225,14,83,113,15,0.568888889,2.573333333
168,Next Step PCS,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Next Step PCS,"3047 15th Street, NW 20009",20009,Cluster 2,The Next Step - El Proximo Paso PCS,2,"3047 15th Street, NW 20009",15500,200,158,0.79,38.927856,-77.03583,,,,,,,,,,,,,168,NEXT STEP,94,,,,,,,,,,,,1,5,20,45,23,,,4,8,1,,1,The Next Step PCS,166,,,,,,,,,,,,,14,31,62,59,,91,4,4,2,1,Next Step Public Charter School,PCS,,2013,168,4045141.724,194867,,,4240008.724,162684,300000,462684,4702692.724,,,,,,,,,,,,,,,,,,
169,Options PCS,Cluster 25,"Union Station, Stanton Park, Kingman Park",Options PCS,"1375 E St NE Washington, DC",20002,Cluster 25,Options PCS - Middle  and High School,25,"1375 E St., NE, Washington, DC 20002",61238,700,359,0.512857143,38.896112,-76.986342,169,134,0.447761194,0.485074627,0.067164179,0,134,0.350746269,0.597014925,0.052238806,0,,169,OPTIONS,359,,,,,,,,,15,22,48,100,74,48,52,,,1,5,27,35,164,6,Options PCS,415,,,,,,,,,28,31,33,115,87,63,58,,,,7,14,22,230,Options Public Charter School,PCS,,2013,169,14055850.22,1710182,,,15766032.22,27600,0,27600,15793632.22,0169,OPTIONS PCS,All Grades,All Students,165,59,73,19,14,0.2,1.927272727,165,67,72,18,8,0.157575758,1.8
170,Paul JHS PCS,Cluster 17,"Takoma, Brightwood, Manor Park",Paul Public Charter School,"5800 8th St Nw Washington, DC",20011,Cluster 17,Paul PCS,17,"5800 8th St., NW, Washington, DC 20011",128351,557,592,1.062836625,38.960274,-77.024207,170,454,0.04185022,0.27753304,0.581497797,0.099118943,451,0.055432373,0.345898004,0.498891353,0.099778271,,170,PAUL PUBLIC CHARTER SCHOOL,592,,,,,,,,,112,198,184,98,,,,,,23,11,37,8,2,4,Paul JHS PCS,556,,,,,,,,,114,142,186,114,,,,,,29,12,31,6,2,Paul Public Charter School,PCS,,2013,170,7792684.592,0,,,7792684.592,,,0,7792684.592,0170,PAUL JHS PCS,All Grades,All Students,418,14,66,255,83,0.80861244,2.973684211,417,24,138,199,56,0.611510791,2.6882494
173,Roots PCS,Cluster 17,"Takoma, Brightwood, Manor Park",Roots Main Campus,"15 Kennedy St NW Washington, DC",20011,Cluster 17,Roots PCS,17,"15 Kennedy St., NW, Washington, DC 20011",19687,70,120,1.714285714,38.956592,-77.009535,173,44,0.022727273,0.5,0.454545455,0.022727273,44,0,0.295454545,0.681818182,0.022727273,,173,ROOTS PCS,120,23,15,14,13,10,6,6,11,3,9,10,,,,,,,,,,,,4,Roots PCS,120,18,17,21,14,12,11,5,6,7,3,6,,,,,,,,2,1,,1,"Roots Public Charter School, Inc.",PCS,,2013,173,1685793.909,96000,,,1781793.909,0,32574,32574,1814367.909,0173,ROOTS PCS,All Grades,All Students,31,4,10,16,1,0.548387097,2.451612903,31,1,10,20,0,0.64516129,2.612903226
174,SEED PCS,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",SEED PCS,"4300 C St SE Washington, DC",20019,Cluster 32,School for Educational Evolution and Development (SEED) PCS,32,"4300 C St., SE, Washington, DC 20019",163000,340,340,1,38.886498,-76.944591,174,198,0.03030303,0.176767677,0.646464646,0.146464646,198,0.070707071,0.353535354,0.51010101,0.065656566,0.9,174,SEED,340,,,,,,,,,79,41,62,34,38,34,52,,,1,5,24,6,1,7,SEED PCS,341,,,,,,,,,99,66,39,47,24,26,40,,,,12,31,5,,"The SEED Public Charter School of Washington, D.C.",PCS,,2013,174,12924624.78,924280,,,13848904.78,500000,45000,545000,14393904.78,0174,SCHOOL FOR EDUCATIONAL EVOLUTION AND DEVELOPMENT (SEED) PCS,All Grades,All Students,211,10,57,106,38,0.682464455,2.815165877,211,32,79,88,12,0.473933649,2.379146919
178,Washington Math Science PCS,Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Washington Math Science Technology (WMST) PCS,"1920 Bladensburg Rd NE Washington, DC",20002,Cluster 23,"Washington Math, Science & Technology PCS (WMST)",23,"1920 Bladensburg Rd., NE, Washington, DC 20002",49000,368,349,0.948369565,38.916053,-76.973499,178,95,0.052631579,0.378947368,0.515789474,0.052631579,95,0.031578947,0.357894737,0.536842105,0.073684211,0.913,178,WASHINGTON MATHEMATICS SCIENCE TECHNOLOGY,349,,,,,,,,,,,,82,101,77,89,,,,10,20,4,1,5,Washington Math Science Tech PCS,354,,,,,,,,,,,,90,84,105,75,,,,14,19,3,1,"Washington Math Science Technology Public Charter High School, Inc.",PCS,,2013,178,5753183.341,551000,,,6304183.341,100000,0,100000,6404183.341,0178,WASHINGTON MATH SCIENCE TECH PCS,All Grades,All Students,76,7,36,29,4,0.434210526,2.394736842,76,5,31,35,5,0.526315789,2.526315789
181,Arts & Technology Academy PCS,Cluster 31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",Arts and Technology PCS,"5300 Blaine St NE Washington, DC",20019,Cluster 31,Arts & Technology Academy PCS,31,"5300 Blaine St., NE, Washington, DC 20019",70000,633,602,0.951026856,38.891713,-76.925665,181,205,0.12195122,0.570731707,0.287804878,0.019512195,205,0.16097561,0.448780488,0.375609756,0.014634146,,181,ARTS AND TECHNOLOGY ACADEMY,602,66,95,83,68,79,73,66,72,,,,,,,,,,1,25,23,4,3,7,Arts and Technology PCS,629,76,91,97,77,75,73,75,65,,,,,,,,,,3,19,27,7,3,"Arts and Technology Academy, Inc.",PCS,,2013,181,9618140.778,1243300,,,10861440.78,0,187000,187000,11048440.78,0181,ARTS AND TECHNOLOGY PCS,All Grades,All Students,201,20,109,66,6,0.358208955,2.288557214,201,23,102,70,6,0.378109453,2.293532338
183,Tree of Life PCS,Cluster 22,"Brookland, Brentwood, Langdon",Tree of Life PCS,"2315 18th Place NE Washington, DC",20018,Cluster 22,Tree of Life Community PCS,22,"2315 18th Pl., NE, Washington, DC 20018",28076,400,301,0.7525,38.920461,-76.978083,183,129,0.201550388,0.410852713,0.341085271,0.046511628,121,0.107438017,0.52892562,0.363636364,0,,183,TREE OF LIFE COMMUNITY,301,43,25,35,30,26,28,20,21,33,24,16,,,,,,,,12,13,1,,5,Tree of Life Community PCS,314,35,44,39,31,24,25,21,22,22,24,27,,,,,,,2,17,12,3,3,"Tree of Life Community Public Charter School, Inc.",PCS,,2013,183,4902237.795,594000,,,5496237.795,0,205146,205146,5701383.795,0183,TREE OF LIFE COMMUNITY PCS,All Grades,All Students,121,16,56,41,8,0.404958678,2.338842975,121,14,53,51,3,0.446280992,2.355371901
184,Capital City PCS,Cluster 17,"Takoma, Brightwood, Manor Park",Capital City PCS Lower/Middle,"100 Peabody St NW, Washington, DC",20011,Cluster 17,Capital City PCS Lower/Middle,17,"100 Peabody St., NW, 2nd Floor, Washington, DC 20011",168000,950,634,0.667368421,38.962682,-77.011139,184,146,0.020547945,0.356164384,0.410958904,0.212328767,146,0.02739726,0.294520548,0.465753425,0.212328767,,184,CAPITAL CITY LOWER SCHOOL,243,,20,24,25,25,25,25,25,25,24,25,,,,,,,62,4,12,14,3,4,Capital City PCS Lower,325,32,42,45,50,51,52,53,65,73,83,77,,,,,,,172,17,30,22,12,Capital City Public Charter School,PCS,,2013,184,15755396.9,2177191,,,17932587.9,230000,740168,970168,18902755.9,0184,CAPITAL CITY LOWER PCS,All Grades,All Students,100,16,40,28,16,0.44,2.44,101,15,38,35,13,0.475247525,2.455445545
,Capital City PCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCS,,,,,,,,,,,,,0182,CAPITAL CITY MIDDLE SCHOOL,All Grades,All Students,286,29,112,110,35,0.506993007,2.527972028,284,25,82,152,25,0.623239437,2.623239437
186,Friendship PCS,Cluster 30,"Mayfair, Hillbrook, Mahaning Heights",Friendship - Collegiate Academy - Woodson,"4095 Minnesota Ave NE Washington, DC",20019,Cluster 30,Friendship PCS - Collegiate Academy,30,"4095 Minnesota Ave., NE, Washington, DC 20019",151558,1058,1110,1.049149338,38.897558,-76.946958,186,248,0.096774194,0.375,0.491935484,0.036290323,248,0.096774194,0.495967742,0.370967742,0.036290323,0.858,186,FRIENDSHIP COLLEGIATE WOODSON,1110,,,,,,,,,,,,285,285,262,278,,,,20,50,63,10,7,Friendship PCS Collegiate Academy,1040,,,,,,,,,,,1,292,222,266,259,,,,31,51,52,13,,PCS,,,,,,,,,,,,,0186,FRIENDSHIP PCS WOODSON COLLEGIATE ACADEMY,All Grades,All Students,217,34,106,74,3,0.35483871,2.211981567,217,37,112,58,10,0.313364055,2.188940092
188,Howard Road Academy PCS,Cluster 37,"Sheridan, Barry Farm, Buena Vista",Howard Road Academy - Howard Road,"701 Howard Rd SE Washington, DC",20020,Cluster 37,Howard Road Academy PCS - Howard Road,37,"701 Howard Rd., SE, Washington, DC 20020",37000,600,522,0.87,38.864629,-76.999565,188,282,0.319148936,0.468085106,0.191489362,0.021276596,282,0.30141844,0.475177305,0.223404255,0,,188,HOWARD ROAD ACADEMY MAIN,522,,27,64,49,89,61,64,90,78,,,,,,,,,,20,27,4,5,8,Howard Road Academy PCS Main,419,,2,66,74,50,71,47,39,70,,,,,,,,,,18,21,4,3,Howard Road Academy Public Charter School,PCS,,2013,188,9987694.759,1623255,,,11610949.76,0,190310,190310,11801259.76,0188,HOWARD ROAD ACADEMY PCS   MAIN CAMPUS,All Grades,All Students,221,38,114,62,7,0.312217195,2.171945701,221,57,105,57,2,0.266968326,2.018099548
189,KIPP Academy PCS,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",KIPP DC - Key Academy,"4801 Benning Rd SE Washington, DC",20020,Cluster 33,"KIPP DC: KEY, LEAP, Promise",33,"4801 Benning Rd., SE, Washington, DC 20019",86000,1000,1032,1.032,38.882981,-76.934233,189,402,0.032338308,0.184079602,0.524875622,0.258706468,402,0.034825871,0.298507463,0.542288557,0.124378109,,189,KIPP DC KEY ACADEMY,417,,,,,,,90,90,87,75,75,,,,,,,,1,34,18,1,7,KIPP DC KEY Academy PCS,327,,,,,,,,87,88,84,68,,,,,,,,,27,16,,,PCS,,,,,,,,,,,,,0189,KIPP DC KEY ACADEMY PCS,All Grades,All Students,310,2,40,144,124,0.864516129,3.258064516,310,4,69,180,57,0.764516129,2.935483871
191,Thurgood Marshall Academy PCS,Cluster 37,"Sheridan, Barry Farm, Buena Vista",Thurgood Marshall Academy PCS,"2427 Martin Luther King Jr Ave SE Washington, DC",20020,Cluster 37,Thurgood Marshall Academy PCS,37,"2427 M. L. King Jr. Ave., SE, Washington, DC 20020",52000,400,390,0.975,38.86248,-76.992798,191,91,0,0.208791209,0.714285714,0.076923077,91,0,0.274725275,0.626373626,0.098901099,0.7544,191,THURGOOD MARSHALL ACADEMY,390,,,,,,,,,,,,148,100,74,68,,,,10,6,7,1,8,Thurgood Marshall Academy PCS,397,,,,,,,,,,,,136,110,87,64,,,,14,16,2,,Thurgood Marshall Academy And Subsidiary,PCS,,2013,191,6130327.504,1373635.133,,,7503962.637,1275006,387350,1662356,9166318.637,0191,THURGOOD MARSHALL ACADEMY PCS,All Grades,All Students,103,2,11,80,10,0.873786408,2.951456311,103,4,35,48,16,0.621359223,2.737864078
193,Latin America Youth Bilingual Montessori,Cluster 17,"Takoma, Brightwood, Manor Park",Latin America Youth Bilingual Montessori - LAMB Missouri,"1375 Missouri Ave NW Washington, DC",20011,Cluster 17,Latin American Montessori Bilingual PCS (LAMB) - Missouri Ave,17,"1375 Missouri Ave., NW, Washington, DC 20011",21755,121,79,0.652892562,38.96195,-77.032688,,,,,,,,,,,,,,LAMB MISSOURI,184,11,41,32,34,26,14,13,11,2,,,,,,,,,119,14,17,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,PCS,,,,,,,,,,,,,0193,LATIN AMERICA MONTESSORI BILINGUAL (LAMB) PCS,All Grades,All Students,42,1,11,23,7,0.714285714,2.857142857,42,1,9,27,5,0.761904762,2.857142857
193,Latin America Youth Bilingual Montessori,Cluster 20,"North Michigan Park, Michigan Park, University Heights",Latin America Youth Bilingual Montessori - LAMB Taylor,"1600 Taylor St NE Washington, DC",20017,Cluster 20,Latin American Montessori Bilingual PCS (LAMB) - Michigan Park Campus,20,"1600 Taylor St. NE, Washington, DC",8653,200,184,0.92,38.940728,-76.982739,193,40,0.05,0.325,0.525,0.1,40,0.025,0.275,0.625,0.075,,193,LAMB TAYLOR,79,55,24,,,,,,,,,,,,,,,,41,,,,,4,LAMB PCS,273,42,66,57,31,34,23,13,7,,,,,,,,,,117,13,16,3,2,"Latin American Montessori Bilingual Public Charter School, Inc.",PCS,,2013,193,4966682.053,247800,,,5214482.053,94000,210600,304600,5519082.053,,,,,,,,,,,,,,,,,,
195,Eagle Academy PCS,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",Eagle Academy PCS - The Eagle Center at McGoney,"3400 Wheeler Road, SE Washington, DC",20032,Cluster 39,Eagle Academy PCS - The Eagle Center at McGoney,39,"3400 Wheeler Road, SE 20032",86000,680,450,0.661764706,38.840521,-76.993653,,,,,,,,,,,,,195,EAGLE ACADEMY M STREET,450,150,146,130,23,1,,,,,,,,,,,,,,20,6,2,12,8,Eagle Center,640,163,146,126,97,59,49,,,,,,,,,,,,5,28,25,5,15,,PCS,,,,,,,,,,,,,0195,EAGLE CENTER,All Grades,All Students,49,5,11,23,10,0.673469388,2.775510204,49,7,16,23,3,0.530612245,2.448979592
196,D.C. Preparatory Academy PCS,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",D.C. Preparatory - Edgewood Middle Campus PCS,"701 Edgewood St NE Washington, DC",20017,Cluster 21,DC Prep: Edgewood Middle Campus,21,"701 Edgewood St., NE, Washington, DC 20017",39746,300,280,0.933333333,38.925357,-76.995601,196,260,0.003846154,0.107692308,0.503846154,0.384615385,260,0.034615385,0.246153846,0.546153846,0.173076923,,196,DC PREP  EDGEWOOD  MIDDLE,280,,,,,,,76,69,61,43,31,,,,,,,3,10,21,8,5,5,DC Preparatory Edgewood Middle  PCS,287,,,,,,,80,68,55,43,41,,,,,,,3,11,12,16,2,D.C. Preparatory Academy,PCS,,2013,196,16712444.32,2993485,,,19705929.32,2258856,24850,2283706,21989635.32,0196,D C  PREPARATORY EDGEWOOD MIDDLE CAMPUS PCS,All Grades,All Students,263,3,19,116,125,0.91634981,3.380228137,263,7,48,140,68,0.790874525,3.022813688
198,Two Rivers PCS,Cluster 25,"Union Station, Stanton Park, Kingman Park",Two Rivers PCS,"1227 4th St NE Washington, DC",20002,Cluster 25,Two Rivers PCS - Upper and Lower,25,"1234 4th St., NE, Washington, DC 20002",58000,350,451,1.288571429,38.906881,-77.000577,198,135,0.014814815,0.259259259,0.496296296,0.22962963,135,0.051851852,0.207407407,0.562962963,0.177777778,,198,TWO RIVERS ELEMENTARY,451,17,43,46,49,48,47,48,42,50,43,18,,,,,,,5,37,27,10,7,6,Two Rivers PCS,502,39,46,45,48,51,49,51,45,45,48,35,,,,,,,20,34,26,24,3,Two Rivers Public Charter School,PCS,,2013,198,7529945.307,497101,,,8027046.307,165000,65722,230722,8257768.307,0198,TWO RIVERS PCS,All Grades,All Students,269,6,78,131,54,0.687732342,2.866171004,269,7,88,135,39,0.646840149,2.765799257
199,D.C. Bilingual PCS,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",D.C. Bilingual PCS,"1420 Columbia Rd Nw Washington, DC",20009,Cluster 2,DC Bilingual PCS - 14th St,2,"1420 Columbia Rd., NW, Washington, DC 20009",11000,339,353,1.041297935,38.9275,-77.033441,199,112,0.125,0.419642857,0.4375,0.017857143,111,0.126126126,0.324324324,0.504504505,0.045045045,,199,DC BILINGUAL,353,20,46,47,47,79,40,38,36,,,,,,,,,,,17,12,1,12,1,D C  Bilingual PCS,339,20,46,46,44,49,72,31,31,,,,,,,,,,224,25,12,1,11,"D. C Bilingual Public Charter School, Inc.",PCS,,2013,199,6153701.7,368128,,,6521829.7,120000,293735,413735,6935564.7,0199,D C  BILINGUAL PCS,All Grades,All Students,132,10,46,57,19,0.575757576,2.643939394,132,16,33,70,13,0.628787879,2.606060606
